City,total_deals,total_amount
Marktredwitz,1,11000.0
Marne,1,11000.0
Marsberg,1,11000.0
Massenbachhausen,1,3000.0
Meerbusch,2,22500.0
Meinersen,1,11000.0
Meinerzhagen,1,11000.0
Meißenheim,1,2500.0
Melle,1,3500.0
Melsungen,1,11000.0
Menden,5,48000.0
Mengerskirchen,1,3000.0
Merseburg,2,22000.0
Mettmann,2,22000.0
Michelfeld,2,14000.0
Michelstadt,1,11000.0
Miesbach,1,11000.0
Miltenberg,1,11000.0
Minden,3,13000.0
Minsk,1,4000.0
Mittweida,1,11000.0
Molsberg,1,11000.0
Monheim am Rhein,2,22000.0
Monschau,1,11000.0
Montabaur,1,11500.0
Morsbach,1,5000.0
Moscow,3,6500.0
Murom,1,4000.0
Murr,1,4500.0
Mutlangen,1,0.0
Mömlingen,1,11000.0
Mönchengladbach,12,101000.0
Mühldorf,1,3500.0
Mühlhausen,2,22000.0
Mülheim an der Ruhr,6,53000.0
Mülheim-Kärlich,1,11000.0
Müllrose,2,22000.0
München,72,600000.0
Münchhausen,1,4000.0
Münster,6,46200.0
Nagold,1,11000.0
Namur,1,4000.0
Nastätten,1,5000.0
Naumburg,4,31000.0
Nebra (Unstrut),1,11000.0
Nellingen,1,11000.0
Nesselwang,2,15000.0
Netphen,1,3500.0
Nettetal,1,5000.0
Neu Wulmstorf,1,5000.0
Neu-Isenburg,1,9000.0
Neu-Ulm,5,39500.0
Neubrandenburg,2,5500.0
Neuburg,1,11000.0
Neuenkirchen,1,4000.0
Neuenrade,1,2500.0
Neuhemsbach,1,4000.0
Neuhäusel,1,11000.0
Neukirchen-Vluyn,3,26000.0
Neumünster,1,11000.0
Neunkirchen,1,5000.0
Neunkirchen-Seelscheid,1,11000.0
Neuss,3,17000.0
Neustadt-Glewe,1,11000.0
Neusäß,1,11000.0
Neutraubling,1,4000.0
Neuwied,1,11000.0
Niedenstein,1,5000.0
Niedereschach,1,11000.0
Niederorschel,1,11000.0
Niederstetten,1,9000.0
Niederstotzingen,1,11000.0
Nienburg/Weser,3,26500.0
Niesky,1,11000.0
Nisterberg,1,5000.0
Nizhny Novgorod,1,2000.0
Norden,1,11000.0
Nordenham,1,11000.0
Norderney,1,11000.0
Nordhausen,1,11000.0
Northeim,1,11000.0
Nottuln,1,11000.0
Novi Sad,1,3500.0
Novorossiysk,1,3500.0
Nünchritz,1,11000.0
Nürnberg,42,381400.0
Nürtingen,1,11000.0
Oberasbach,1,11000.0
Oberding,1,11000.0
Obergriesbach,1,11000.0
Obergünzburg,1,11000.0
Oberhausen,9,85000.0
Oberkochen,1,11000.0
Obermarchtal,1,5000.0
Oberndorf am Neckar,2,22000.0
Obernheim,1,4500.0
Oberrot,1,4000.0
Ochtrup,2,20500.0
Odelzhausen,1,11000.0
Oelde,1,11000.0
Oerlinghausen,1,11000.0
Offenbach,2,14500.0
Offenbach am Main,1,11000.0
Ohrdruf,1,11000.0
Olching,1,3500.0
Oldenburg,6,58000.0
Olpe,1,5000.0
Oranienburg,3,31000.0
Osnabrück,6,57500.0
Ostbevern,2,15000.0
Osterhofen,1,11000.0
Osterode am Harz,1,11000.0
Ottersweier,1,11000.0
Ottobrunn,1,11000.0
Paderborn,5,55500.0
Parchim,1,4000.0
Passau,9,81500.0
Pavlograd,1,4000.0
Peine,1,11500.0
Perleberg,1,11000.0
Pfaffenhofen,1,5000.0
Pfalzgrafenweiler,1,3000.0
Pfedelbach,4,29500.0
Pfinztal,1,11000.0
Pforzheim,4,25500.0
Phuket,1,2000.0
Piatek,1,2500.0
Pinneberg,1,11000.0
Piotrków Trybunalski,1,4000.0
Pirmasens,2,15500.0
Planegg,1,11000.0
Plauen,1,11000.0
Pleinfeld,1,5000.0
Plön,1,11000.0
Podskalie,1,4500.0
Poing,1,11000.0
"Poland , Gdansk , Al. Grunwaldzka 7, ap. 1a",1,0.0
Pommelsbrunn,2,22000.0
Poppenhausen,1,2500.0
